Id,Home Number,Reading,Status,Date,Time,Temperature,Humidity
SEM-001,B 21,3.573311000000001e-43,Energy Meter Issue,00/00/2165,0:165,,
SEM-001,B 21,3.573311000000001e-43,Energy Meter Issue,00/00/2165,0:165,,
SEM-002,B-33,0.0,UP,01/01/2025,10:46,,
SEM-001,B 21,0.0,RTC Issue,00/00/2165,0:165,,
SEM-001,B 21,0.0,Energy Meter Issue,00/00/2165,0:165,,
SEM-001,B 21,0.0,RTC Issue,00/00/2165,0:165,,
SEM-001,B-21,0.020396,UP,02/01/2025,12:31,15.2,70.7
SEM-001,B-21,0.024331,UP,02/01/2025,12:31,15.2,70.8
SEM-001,B-21,0.177488,UP,02/01/2025,12:41,15.6,69.9
SEM-001,B-21,0.203909,UP,02/01/2025,12:51,15.7,69.3
SEM-001,B-21,0.204719,UP,02/01/2025,13:1,15.8,68.5
SEM-002,B-22,0.0,UP,02/01/2025,13:10,,
SEM-001,B-21,0.205626,UP,02/01/2025,13:11,15.9,68.8
SEM-001,B-21,0.207454,UP,02/01/2025,13:21,16.1,68.9
SEM-001,B-21,0.209809,UP,02/01/2025,13:31,16.1,69.3
SEM-001,B-21,0.292207,UP,02/01/2025,13:41,16.2,68.3
SEM-001,B-21,0.410531,UP,02/01/2025,13:51,16.3,68.7
SEM-001,B-21,0.550688,UP,02/01/2025,14:1,16.3,69.1
SEM-001,B-21,0.728152,UP,02/01/2025,14:11,16.4,68.6
SEM-001,B-21,0.898989,UP,02/01/2025,14:21,16.4,68.3
SEM-002,B-22,0.0,Energy Meter Issue,02/01/2025,14:31,,
SEM-001,B-21,0.899569,UP,02/01/2025,14:31,16.4,68.3
SEM-002,B-22,0.001,UP,02/01/2025,14:41,,
SEM-001,B-21,0.900297,UP,02/01/2025,14:41,16.3,69.0
SEM-001,B-21,0.901164,UP,02/01/2025,14:51,16.4,68.7
SEM-002,B-22,0.191044,UP,02/01/2025,15:0,,
SEM-001,B-21,0.919449,UP,02/01/2025,15:1,16.5,68.5
SEM-002,B-22,0.308133,UP,02/01/2025,15:11,,
SEM-001,B-21,0.966781,UP,02/01/2025,15:11,16.4,68.7
SEM-003,B-33,0.0,RTC Issue,00/00/2165,0:165,14.5,85.1
SEM-003,B-33,0.0,RTC Issue,00/00/2165,0:165,14.6,84.9
SEM-001,B-21,1.040497,UP,02/01/2025,15:21,16.5,68.4
SEM-002,B-22,0.400111,UP,02/01/2025,15:22,,
SEM-003,B-33,0.0,RTC Issue,00/00/2165,0:165,14.5,84.6
SEM-001,B-21,1.134626,UP,02/01/2025,15:31,16.5,68.5
SEM-002,B-22,0.475086,UP,02/01/2025,15:34,21.1,69.1
SEM-002,B-22,0.478214,UP,02/01/2025,15:36,19.1,68.8
SEM-001,B-21,1.249081,UP,02/01/2025,15:41,16.5,69.0
SEM-002,B-22,0.557409,UP,02/01/2025,15:46,19.0,69.0
SEM-001,B-21,1.301266,UP,02/01/2025,15:51,16.6,68.8
SEM-002,B-22,0.640476,UP,02/01/2025,15:56,16.9,77.0
SEM-001,B-21,1.416878,UP,02/01/2025,16:1,16.6,68.8
SEM-002,B-22,0.694303,UP,02/01/2025,16:6,16.8,77.5
SEM-001,B-21,1.54025,UP,02/01/2025,16:11,16.4,69.0
SEM-002,B-22,0.763142,UP,02/01/2025,16:16,16.7,77.5
SEM-001,B-21,1.671563,UP,02/01/2025,16:21,16.6,68.8
SEM-002,B-22,0.842165,UP,02/01/2025,16:26,16.8,78.1
SEM-001,B-21,1.809631,UP,02/01/2025,16:31,16.5,69.1
SEM-002,B-22,0.92873,UP,02/01/2025,16:36,16.7,77.9
SEM-001,B-21,1.950706,UP,02/01/2025,16:41,16.5,69.7
SEM-002,B-22,1.022261,UP,02/01/2025,16:46,16.7,78.0
SEM-001,B-21,2.102864,UP,02/01/2025,16:51,16.4,70.5
SEM-002,B-22,1.119257,UP,02/01/2025,16:56,16.7,77.2
SEM-002,B-22,1.150845,UP,02/01/2025,17:0,16.7,77.1
SEM-001,B-21,2.131696,UP,02/01/2025,17:0,16.4,70.5
